X,Y,OBJECTID,FOLIO,ID,NAME,ADDRESS,CITY,ZIPCODE,PHONE,CONTACT,TOTACRE,LAT,LON,POINT_X,POINT_Y,CLASS,TYPE,MNGTAGCY,MUNICIPAL_,PROPNUM,FACILITYPLAN,PARKURL,AMPHITHEAT,ARCHERY,ART,AUDITORIUM,BASEBALL,BASKETBALL,BEACH,BIKETRAIL,BMXTRACK,BOATRAMP,CAMPGROUND,CANOE_LAUNCH,DOGPARK,EQUESTRIAN,FITNESSZONE,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,PLAYGROUND,RAQUETBALL,REC_CENTER,RESTROOM,ROLLERHOCK,RVCAMPGROU,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,GlobalID,created_user,created_date,last_edited_user,last_edited_date,FIT2PLAY,LRN2SWIM,SPRCAMP,SUMCAMP,AFTSCHCAMP,ACTOLDADLPRG,WINTCAMP,ONEDAYCAMP,STARTIME,ENDTIME
-80.380572730222,25.5809346339181,1,3030320131910,600703,Roberta Hunter Park,SW 117TH AVE / SW 200TH ST,MIAMI,33189,305-255-2399, ,0,25.58093,-80.38057,860338.999797,453858.999804,Greenway - Right of Way,Area-Wide,MiamiDadePark,County,600703,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Roberta Hunter Park.pdf,http://www.miamidade.gov/parks/roberta-hunter.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{242704D5-B10F-4F80-A90F-65EB270156C9},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.3850327335553,25.6677646553204,2,3059120000010,591201,Rock Ridge Park,10810 SW 117TH AVE,MIAMI,33176,305-596-9324, ,4.7,25.66776,-80.38503,858721.999422,485409.999694,Neighborhood Park,Local,MiamiDadePark,County,591201,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rock Ridge Park.pdf,http://www.miamidade.gov/parks/rockridge.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,{AEFB8D94-2B71-455A-889C-4377862E57EA},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.3444327212143,25.6349146483583,3,3050210000141,502101,Rockdale Park,9325 SW 146TH ST,MIAMI,33176,305-274-9666, ,3.2,25.63491,-80.34443,872154.000117,473535.99982,Neighborhood Park,Local,MiamiDadePark,County,502101,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rockdale Park.pdf,http://www.miamidade.gov/parks/rockdale.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{A0536EB8-63B9-43C1-9F80-FB579AD8A7CD},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.3486627252921,25.7444646750005,4,3040160183390,401601,Rockway Park,9460 SW 27TH DR,MIAMI,33165,305-223-8769,,1.81,25.74446,-80.34866,870563.999688,513343.999929,Community Park,Local,MiamiDadePark,County,401601,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rockway Park.pdf,http://www.miamidade.gov/parks/rockway.asp,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,{DB28280B-1192-4769-818E-A467A0672A48},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:55+00,No,No,No,No,No,No,No,No,,
-80.251042698264,25.8186446958958,5,3031210190550,312107,Rocky Creek Park,3305 NW 48TH TER,MIAMI,33142,305-633-4066, ,0.25,25.81864,-80.25104,902545.00003,540474.999472,Mini Park,Local,MiamiDadePark,County,312107,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Rocky Creek Park.pdf,http://www.miamidade.gov/parks/rocky-creek.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{FDC0BE16-23D7-4DDD-B584-FEC7D566D56A},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.3501027237943,25.667194655779,6,3050090000800,500901,Ron Ehmann Park,10995 SW 97TH AVE,MIAMI,33176,305-271-3853, ,0,25.66719,-80.3501,870228.000032,485258.000655,Community Park,Local,MiamiDadePark,County,500901,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Ron Ehmann Park.pdf,http://www.miamidade.gov/parks/ron-ehmann.asp,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,{3C9BC6AF-3000-4748-A114-E1CD0C7301B5},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.1197926629298,25.940974730278,7, ,221102,Sunny Isles Beach,FROM N END OF HAULOVER TO 195TH ST,SUNNY ISLES BEACH,33160,305-868-7075, ,0,25.94097,-80.11979,945421.999906,585208.999571,Metropolitan Park,Area-Wide,MiamiDadePark,County,221102,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Sunny Isles Beach.pdf,http://www.miamidade.gov/parks/,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{CEBD8F2F-3ED6-4D12-9E21-DB5DE3410F67},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
-80.2499026993375,25.8295046997991,8,3031160000280,311608,Martin Luther King Memorial Park,6160 NW 32ND CT,MIAMI,33142,305-633-2044, ,10.13,25.8295,-80.2499,902896.999983,544424.999774,Community Park,Local,MiamiDadePark,County,311608,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Martin Luther King Memorial Park.pdf,http://www.miamidade.gov/parks/martin-luther.asp,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,{C7EB16F7-7B1E-48D4-90F2-3FCD746B8A15},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.23707269365,25.8194046964326,9,3031220000150,312203,Marva Y. Bannerman Park & Pool,4830 NW 24TH AVE,MIAMI,33142,305-633-4064, ,3.92,25.8194,-80.23707,907139.000029,540778.99952,Community Park,Local,MiamiDadePark,County,312203,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Marva Y. Bannerman Park & Pool.pdf,http://www.miamidade.gov/parks/marva-bannerman.asp,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,{7D3343C8-ED40-46F2-B934-323408594932},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:54+00,No,No,No,No,No,No,No,No,,
-80.407682741043,25.7106746655545,10,3049260050020,492600,McMillan Park,6125 SW 133RD AVE,MIAMI,33183,305-382-6407, ,8.6,25.71067,-80.40768,851192.000703,500970.000398,Single Purpose Park,Local,MiamiDadePark,County,492600,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/McMillan Park.pdf,http://www.miamidade.gov/parks/mcmillan.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{8E2E39CA-1AC7-4681-8208-DE9C161C67E8},MiamiDadePark,2014/03/24 18:00:30+00,PARKSFACILITYE,2020/10/21 18:51:56+00,No,No,No,No,No,No,No,No,,
