Stock,Date,Open,High,Low,Close,Adj Close,Volume
AAL,7/1/2019,33.139999,34.990002,30.209999,30.51,30.193249,128999900
AAL,8/1/2019,30.43,30.57,24.23,26.309999,26.03685,168599300
AAL,9/1/2019,26.16,30.34,25.950001,26.969999,26.78388,141809000
AAL,10/1/2019,27.08,31.67,24.51,30.059999,29.852556,193264300
AAL,11/1/2019,30.299999,31.58,27.84,28.74,28.541666,115120700
AAL,12/1/2019,28.790001,29.809999,26.68,28.68,28.574404,133826900
AAL,1/1/2020,28.98,29.299999,25.370001,26.84,26.741179,226705600
AAL,2/1/2020,26.93,30.780001,18.77,19.049999,18.979858,262905900
AAL,3/1/2020,19.049999,19.790001,10.01,12.19,12.19,1304401000
AAL,4/1/2020,11.45,13.4,9.09,12.01,12.01,1750440700
AAL,5/1/2020,11.41,12.55,8.25,10.5,10.5,1374266000
AAL,6/1/2020,10.79,22.799999,10.62,13.07,13.07,3103539000
AAL,7/1/2020,13.48,14.29,10.8,11.12,11.12,1632046000
AAL,8/1/2020,11.07,15.1,10.71,13.05,13.05,1490615900
AAL,9/1/2020,12.86,14.16,11.22,12.29,12.29,1199512900
AAL,10/1/2020,12.45,13.68,10.63,11.28,11.28,1349366200
AAL,11/1/2020,11.32,15.56,10.87,14.13,14.13,1700021700
AAL,12/1/2020,14.42,18.629999,13.85,15.77,15.77,1859647300
AAL,1/1/2021,15.85,21.77,14.71,17.17,17.17,1444224200
AAL,2/1/2021,17.25,22.440001,16.33,20.940001,20.940001,892994900
AAL,3/1/2021,21.75,26.09,18.940001,23.9,23.9,1077197000
AAL,4/1/2021,24.02,24.85,19.639999,21.719999,21.719999,740659000
AAL,5/1/2021,21.870001,24.82,20.620001,24.24,24.24,675687600
AAL,6/1/2021,24.68,26.040001,20.940001,21.209999,21.209999,617245100
AAL,7/1/2021,21.469999,22.16,18.280001,20.379999,20.379999,687318800
AAL,8/1/2021,20.49,21.49,18.290001,19.940001,19.940001,645704700
AAL,9/1/2021,20.01,22.190001,18.639999,20.52,20.52,684885900
AAL,10/1/2021,21,22.08,18.85,19.200001,19.200001,574168900
AAL,11/1/2021,19.09,22.35,16.9,17.690001,17.690001,715400700
AAL,12/1/2021,17.940001,18.870001,16.15,17.959999,17.959999,899699400
AAL,1/1/2022,18.23,19.76,14.91,16.469999,16.469999,814025900
AAL,2/1/2022,16.559999,19.110001,15.48,17.25,17.25,761641100
AAL,3/1/2022,16.969999,18.450001,12.44,18.25,18.25,1207906400
AAL,4/1/2022,18.299999,21.42,16.370001,18.77,18.77,770056000
AAL,5/1/2022,18.75,19.639999,15.09,17.870001,17.870001,674796200
AAL,6/1/2022,18.07,18.1,11.93,12.68,12.68,800097200
AAL,7/1/2022,12.78,15.42,12.52,13.71,13.71,740962700
AAL,8/1/2022,13.67,15.71,12.96,12.99,12.99,577818400
AAL,9/1/2022,12.87,14.67,11.85,12.04,12.04,689436500
AAL,10/1/2022,12.02,14.48,11.65,14.18,14.18,804686600
AAL,11/1/2022,14.44,15.18,13.2,14.43,14.43,524101400
AAL,12/1/2022,14.46,14.74,12.23,12.72,12.72,524327900
AAL,1/1/2023,12.91,17.639999,12.53,16.139999,16.139999,678415500
AAL,2/1/2023,16.040001,17.440001,15.36,15.98,15.98,377967600
AAL,3/1/2023,15.93,16.799999,13.36,14.75,14.75,474716700
AAL,4/1/2023,14.52,14.62,12.65,13.64,13.64,580831800
AAL,5/1/2023,13.6,15.11,13.35,14.78,14.78,522112900
AAL,6/1/2023,14.87,17.99,14.61,17.940001,17.940001,459943700
DAL,7/1/2019,57.299999,63.439999,57.25,61.040001,59.664356,145644600
DAL,8/1/2019,61.310001,61.77,55.57,57.860001,56.919609,112141700
DAL,9/1/2019,57.439999,60.580002,56.650002,57.599998,56.66383,106340200
DAL,10/1/2019,58.049999,58.68,51.07,55.080002,54.184792,177485000
DAL,11/1/2019,55.549999,58.43,55.119999,57.310001,56.797382,105598900
DAL,12/1/2019,57.25,59.919998,54.540001,58.48,57.956917,100565600
DAL,1/1/2020,58.93,62.48,55.43,55.740002,55.241425,173131800
DAL,2/1/2020,56.200001,60.029999,45.029999,46.130001,45.717384,165222100
DAL,3/1/2020,46.220001,49.970001,19.1,28.530001,28.470201,823679400
DAL,4/1/2020,26.59,27.6,20.76,25.91,25.855692,1351787400
DAL,5/1/2020,24.950001,27.85,17.51,25.209999,25.15716,1171815600
DAL,6/1/2020,25.33,37.240002,25.08,28.049999,27.991207,1333078400
DAL,7/1/2020,29.02,29.85,24.43,24.969999,24.917662,571216100
DAL,8/1/2020,24.85,32.209999,24.379999,30.85,30.785339,463825600
DAL,9/1/2020,30.02,35.07,27.92,30.58,30.515903,464823400
DAL,10/1/2020,30.99,34.040001,28.74,30.639999,30.575779,365073100
DAL,11/1/2020,30.620001,42.189999,29.67,40.25,40.165638,386248000
DAL,12/1/2020,40.790001,43.759998,38.84,40.209999,40.125717,276192900
DAL,1/1/2021,40.169998,42.639999,37.740002,37.959999,37.880436,252877700
DAL,2/1/2021,38.349998,50.200001,37.419998,47.939999,47.839516,253317100
DAL,3/1/2021,49.470001,52.279999,43.009998,48.279999,48.178802,311352900
DAL,4/1/2021,48.59,51.82,43.34,46.919998,46.821655,262740100
DAL,5/1/2021,47.189999,48.200001,42.939999,47.68,47.580063,219837000
DAL,6/1/2021,48.130001,48.540001,42.580002,43.259998,43.169327,228697100
DAL,7/1/2021,43.5,44.540001,37.560001,39.900002,39.816372,280872300
DAL,8/1/2021,40.040001,41.799999,37.310001,40.439999,40.355236,252152500
DAL,9/1/2021,40.57,45.060001,38.799999,42.610001,42.520691,225924300
DAL,10/1/2021,43.950001,46,38.810001,39.130001,39.047985,246412100
DAL,11/1/2021,39.150002,45.52,34.599998,36.200001,36.124126,276217900
DAL,12/1/2021,36.869999,39.889999,33.400002,39.080002,38.998089,347049900
DAL,1/1/2022,39.790001,42.540001,35.880001,39.689999,39.606808,276197700
DAL,2/1/2022,39.799999,45.139999,37.470001,39.919998,39.836327,265638700
DAL,3/1/2022,39.5,40.259998,29.75,39.57,39.487061,419255300
DAL,4/1/2022,39.669998,46.27,36.169998,43.029999,42.939808,329775600
DAL,5/1/2022,42.950001,43.970001,35.700001,41.689999,41.602615,265021700
DAL,6/1/2022,42.130001,42.299999,28.1,28.969999,28.909279,341159100
DAL,7/1/2022,29.23,33.080002,28.139999,31.799999,31.733347,283897800
DAL,8/1/2022,31.780001,35.790001,31.059999,31.07,31.004877,191471800
DAL,9/1/2022,30.65,33.740002,27.799999,28.059999,28.001186,220686800
DAL,10/1/2022,27.98,35.080002,27.200001,33.93,33.858883,269214900
DAL,11/1/2022,34.330002,36,30.98,35.369999,35.295864,163171400
DAL,12/1/2022,35.450001,36.880001,31.82,32.860001,32.791126,195049700
DAL,1/1/2023,33.25,39.619999,32.34,39.099998,39.018044,255054500
DAL,2/1/2023,38.84,40.34,36.66,38.34,38.25964,141083300
DAL,3/1/2023,38.34,40.299999,31.040001,34.919998,34.846806,235287700
DAL,4/1/2023,34.48,36.189999,32.439999,34.310001,34.238087,230947300
DAL,5/1/2023,34.43,36.93,32.68,36.330002,36.253853,204228100
DAL,6/1/2023,36.419998,47.73,36,47.540001,47.440357,266395300
UAL,7/1/2019,88.839996,96.029999,87.769997,91.910004,91.910004,62317400
UAL,8/1/2019,92.029999,93.040001,80.779999,84.309998,84.309998,53155300
UAL,9/1/2019,83.639999,91.839996,82.25,88.410004,88.410004,47775300
UAL,10/1/2019,89.150002,92.800003,80.870003,90.839996,90.839996,61233900
UAL,11/1/2019,91.650002,95.160004,90.769997,92.800003,92.800003,35095100
UAL,12/1/2019,93,93.620003,86.080002,88.089996,88.089996,42638400
