Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Size,Sales,StoreType
1,2/5/10,42.31,2.572,211.0963582,8.106,0,151315,1643690.9,A
2,2/5/10,40.19,2.572,210.7526053,8.324,0,202307,2136989.46,A
3,2/5/10,45.71,2.572,214.4248812,7.368,0,37392,461622.22,B
4,2/5/10,43.76,2.598,126.4420645,8.623,0,205863,2135143.87,A
5,2/5/10,39.7,2.572,211.6539716,6.566,0,34875,317173.1,B
6,2/5/10,40.43,2.572,212.6223518,7.259,0,202505,1652635.1,A
7,2/5/10,10.53,2.58,189.3816974,9.014,0,70713,496725.44,B
8,2/5/10,34.14,2.572,214.4714512,6.299,0,155078,1004137.09,A
9,2/5/10,38.01,2.572,214.6554591,6.415,0,125833,549505.55,B
10,2/5/10,54.34,2.962,126.4420645,9.765,0,126512,2193048.75,B
11,2/5/10,46.04,2.572,214.4248812,7.368,0,207499,1528008.64,A
12,2/5/10,49.47,2.962,126.4420645,13.975,0,112238,1100046.37,B
13,2/5/10,31.53,2.666,126.4420645,8.316,0,219622,1967220.53,A
14,2/5/10,27.31,2.784,181.8711898,8.992,0,200898,2623469.95,A
15,2/5/10,19.83,2.954,131.5279032,8.35,0,123737,652122.44,B
16,2/5/10,19.79,2.58,189.3816974,7.039,0,57197,477409.3,B
17,2/5/10,23.11,2.666,126.4420645,6.548,0,93188,789036.02,B
18,2/5/10,21.33,2.788,131.5279032,9.202,0,120653,1205307.5,B
19,2/5/10,20.96,2.954,131.5279032,8.35,0,203819,1507637.17,A
20,2/5/10,25.92,2.784,204.2471935,8.187,0,203742,2401395.47,A
21,2/5/10,39.05,2.572,210.7526053,8.324,0,140167,798593.88,B
22,2/5/10,24.36,2.788,135.3524608,8.283,0,119557,1033017.37,B
23,2/5/10,15.25,2.788,131.5279032,5.892,0,114533,1364721.58,B
24,2/5/10,22.43,2.954,131.5279032,8.326,0,203819,1388725.63,A
25,2/5/10,21.1,2.784,204.2471935,8.187,0,128107,677231.63,B
26,2/5/10,9.55,2.788,131.5279032,8.488,0,152513,1034119.21,A
27,2/5/10,27.19,2.954,135.3524608,8.237,0,204184,1874289.79,A
28,2/5/10,49.47,2.962,126.4420645,13.975,0,206302,1672352.29,A
29,2/5/10,24.36,2.788,131.5279032,10.064,0,93638,538634.46,B
30,2/5/10,39.05,2.572,210.7526053,8.324,0,42988,465108.52,C
31,2/5/10,39.05,2.572,210.7526053,8.324,0,203750,1469252.05,A
32,2/5/10,34.43,2.58,189.3816974,9.014,0,203007,1087616.19,A
33,2/5/10,58.4,2.962,126.4420645,10.115,0,39690,274593.43,A
34,2/5/10,35.44,2.598,126.4420645,9.521,0,158114,956228.96,A
35,2/5/10,27.19,2.784,135.3524608,9.262,0,103681,1230613.5,B
36,2/5/10,45.97,2.545,209.8529663,8.554,0,39910,467546.74,A
37,2/5/10,45.97,2.572,209.8529663,8.554,0,39910,536006.73,C
38,2/5/10,49.47,2.962,126.4420645,13.975,0,39690,358496.14,C
39,2/5/10,44.3,2.572,209.8529663,8.554,0,184109,1230596.8,A
40,2/5/10,14.48,2.788,131.5279032,5.892,0,155083,1001943.8,A
41,2/5/10,30.27,2.58,189.3816974,7.541,0,196321,1086533.18,A
42,2/5/10,54.34,2.962,126.4420645,9.765,0,39690,543384.01,C
43,2/5/10,47.31,2.572,203.0642742,9.521,0,41062,647029.28,C
44,2/5/10,31.53,2.666,126.4420645,8.119,0,39910,281090.95,C
45,2/5/10,27.31,2.784,181.8711898,8.992,0,118221,890689.51,B
1,2/12/10,38.51,2.548,211.2421698,8.106,1,151315,1641957.44,A
2,2/12/10,38.49,2.548,210.8979935,8.324,1,202307,2137809.5,A
3,2/12/10,47.93,2.548,214.5747916,7.368,1,37392,420728.96,B
4,2/12/10,28.84,2.573,126.4962581,8.623,1,205863,2188307.39,A
5,2/12/10,39.81,2.548,211.8004698,6.566,1,34875,311825.7,B
6,2/12/10,40.57,2.548,212.7700425,7.259,1,202505,1606283.86,A
7,2/12/10,25.9,2.572,189.4642725,9.014,1,70713,524104.92,B
8,2/12/10,33.34,2.548,214.6214189,6.299,1,155078,994801.4,A
9,2/12/10,37.08,2.548,214.8056534,6.415,1,125833,552677.48,B
10,2/12/10,49.96,2.828,126.4962581,9.765,1,126512,2176028.52,B
11,2/12/10,48.01,2.548,214.5747916,7.368,1,207499,1574684.08,A
12,2/12/10,47.87,2.946,126.4962581,13.975,1,112238,1117863.33,B
13,2/12/10,33.16,2.671,126.4962581,8.316,1,219622,2030933.46,A
14,2/12/10,27.73,2.773,181.982317,8.992,1,200898,1704218.84,A
15,2/12/10,22,2.94,131.5866129,8.35,1,123737,682447.1,B
16,2/12/10,20.87,2.572,189.4642725,7.039,1,57197,472044.28,B
17,2/12/10,18.36,2.671,126.4962581,6.548,1,93188,841951.91,B
18,2/12/10,26.41,2.771,131.5866129,9.202,1,120653,1187880.7,B
19,2/12/10,23.22,2.94,131.5866129,8.35,1,203819,1536549.95,A
20,2/12/10,22.12,2.773,204.3857472,8.187,1,203742,2109107.9,A
21,2/12/10,37.77,2.548,210.8979935,8.324,1,140167,809321.44,B
22,2/12/10,28.14,2.771,135.4113076,8.283,1,119557,1022571.25,B
23,2/12/10,18.75,2.771,131.5866129,5.892,1,114533,1380892.08,B
24,2/12/10,25.94,2.94,131.5866129,8.326,1,203819,1414107.1,A
25,2/12/10,19.64,2.773,204.3857472,8.187,1,128107,583364.02,B
26,2/12/10,18.14,2.771,131.5866129,8.488,1,152513,1015684.09,A
27,2/12/10,29.81,2.94,135.4113076,8.237,1,204184,1745362.72,A
28,2/12/10,47.87,2.946,126.4962581,13.975,1,206302,1558968.49,A
29,2/12/10,28.14,2.771,131.5866129,10.064,1,93638,529672.95,B
30,2/12/10,37.77,2.548,210.8979935,8.324,1,42988,497374.57,C
31,2/12/10,37.77,2.548,210.8979935,8.324,1,203750,1543947.23,A
32,2/12/10,28.09,2.572,189.4642725,9.014,1,203007,1123566.12,A
33,2/12/10,55.47,2.828,126.4962581,10.115,1,39690,294882.83,A
34,2/12/10,36.13,2.573,126.4962581,9.521,1,158114,994610.99,A
35,2/12/10,29.81,2.773,135.4113076,9.262,1,103681,1168815.31,B
36,2/12/10,46.11,2.539,209.9970208,8.554,1,39910,469563.7,A
37,2/12/10,46.11,2.548,209.9970208,8.554,1,39910,529852.7,C
38,2/12/10,47.87,2.946,126.4962581,13.975,1,39690,342214.9,C
39,2/12/10,44.58,2.548,209.9970208,8.554,1,184109,1266229.07,A
40,2/12/10,20.84,2.771,131.5866129,5.892,1,155083,955338.29,A
41,2/12/10,23.04,2.572,189.4642725,7.541,1,196321,1075656.34,A
42,2/12/10,49.96,2.828,126.4962581,9.765,1,39690,575709.96,C
43,2/12/10,47.99,2.548,203.2010968,9.521,1,41062,682918.99,C
44,2/12/10,33.16,2.671,126.4962581,8.119,1,39910,286857.13,C
45,2/12/10,27.73,2.773,181.982317,8.992,1,118221,656988.64,B
1,2/19/10,39.93,2.514,211.2891429,8.106,0,151315,1611968.17,A
2,2/19/10,39.69,2.514,210.9451605,8.324,0,202307,2124451.54,A
3,2/19/10,47.07,2.514,214.6198868,7.368,0,37392,421642.19,B
4,2/19/10,36.45,2.54,126.5262857,8.623,0,205863,2049860.26,A
5,2/19/10,41.14,2.514,211.8471283,6.566,0,34875,303447.57,B
6,2/19/10,43.58,2.514,212.8161546,7.259,0,202505,1567138.07,A
7,2/19/10,27.28,2.55,189.5340998,9.014,0,70713,506760.54,B
8,2/19/10,39.1,2.514,214.6664878,6.299,0,155078,963960.37,A
9,2/19/10,43.06,2.514,214.8506185,6.415,0,125833,511327.9,B
10,2/19/10,58.22,2.915,126.5262857,9.765,0,126512,2113432.58,B
11,2/19/10,48.3,2.514,214.6198868,7.368,0,207499,1503298.7,A
12,2/19/10,54.83,2.915,126.5262857,13.975,0,112238,1095421.65,B
13,2/19/10,35.7,2.654,126.5262857,8.316,0,219622,1970274.64,A
14,2/19/10,31.27,2.745,182.0347816,8.992,0,200898,2204556.7,A
15,2/19/10,27.54,2.909,131.637,8.35,0,123737,660838.75,B
16,2/19/10,21.13,2.55,189.5340998,7.039,0,57197,469868.7,B
17,2/19/10,25.06,2.654,126.5262857,6.548,0,93188,800714,B
18,2/19/10,30.91,2.747,131.637,9.202,0,120653,1150663.42,B
19,2/19/10,28.57,2.909,131.637,8.35,0,203819,1515976.11,A
20,2/19/10,25.43,2.745,204.4321004,8.187,0,203742,2161549.76,A
21,2/19/10,39.75,2.514,210.9451605,8.324,0,140167,867283.25,B
22,2/19/10,31.96,2.747,135.4657781,8.283,0,119557,988467.61,B
23,2/19/10,26.7,2.747,131.637,5.892,0,114533,1319588.04,B
24,2/19/10,31.05,2.909,131.637,8.326,0,203819,1385362.49,A
25,2/19/10,24.16,2.745,204.4321004,8.187,0,128107,676260.67,B
26,2/19/10,22.62,2.747,131.637,8.488,0,152513,999348.55,A
27,2/19/10,32.44,2.909,135.4657781,8.237,0,204184,1945070.33,A
28,2/19/10,54.83,2.915,126.5262857,13.975,0,206302,1491300.42,A
29,2/19/10,31.96,2.747,131.637,10.064,0,93638,542399.07,B
30,2/19/10,39.75,2.514,210.9451605,8.324,0,42988,463513.26,C
31,2/19/10,39.75,2.514,210.9451605,8.324,0,203750,1473386.75,A
32,2/19/10,29.16,2.55,189.5340998,9.014,0,203007,1082559.06,A
33,2/19/10,62.16,2.915,126.5262857,10.115,0,39690,296850.83,A
34,2/19/10,38.36,2.54,126.5262857,9.521,0,158114,983963.07,A
35,2/19/10,32.44,2.745,135.4657781,9.262,0,103681,1270658.64,B
36,2/19/10,45.66,2.472,210.0451024,8.554,0,39910,470281.03,A
37,2/19/10,45.66,2.514,210.0451024,8.554,0,39910,510382.5,C
38,2/19/10,54.83,2.915,126.5262857,13.975,0,39690,327237.92,C
39,2/19/10,43.96,2.514,210.0451024,8.554,0,184109,1230591.97,A
40,2/19/10,27.84,2.747,131.637,5.892,0,155083,916289.2,A
41,2/19/10,24.13,2.55,189.5340998,7.541,0,196321,1052034.74,A
42,2/19/10,58.22,2.915,126.5262857,9.765,0,39690,508794.87,C
43,2/19/10,48.77,2.514,203.2479796,9.521,0,41062,658997.55,C
44,2/19/10,35.7,2.654,126.5262857,8.119,0,39910,267956.3,C
45,2/19/10,31.27,2.745,182.0347816,8.992,0,118221,841264.04,B
1,2/26/10,46.63,2.561,211.3196429,8.106,0,151315,1409727.59,A
2,2/26/10,46.1,2.561,210.9759573,8.324,0,202307,1865097.27,A
3,2/26/10,52.05,2.561,214.6475127,7.368,0,37392,407204.86,B
4,2/26/10,41.36,2.59,126.5522857,8.623,0,205863,1925728.84,A
5,2/26/10,46.7,2.561,211.8771468,6.566,0,34875,270281.63,B
6,2/26/10,47.1,2.561,212.845337,7.259,0,202505,1432953.21,A
7,2/26/10,24.91,2.586,189.6018023,9.014,0,70713,496083.24,B
8,2/26/10,37.91,2.561,214.6940735,6.299,0,155078,847592.11,A
9,2/26/10,43.83,2.561,214.8780453,6.415,0,125833,473773.27,B
10,2/26/10,52.77,2.825,126.5522857,9.765,0,126512,2006774.96,B
11,2/26/10,52.79,2.561,214.6475127,7.368,0,207499,1336404.65,A
12,2/26/10,50.23,2.825,126.5522857,13.975,0,112238,1048617.17,B
13,2/26/10,29.98,2.667,126.5522857,8.316,0,219622,1817850.32,A
14,2/26/10,34.89,2.754,182.0774691,8.992,0,200898,2095591.63,A
15,2/26/10,29.87,2.91,131.686,8.35,0,123737,564883.2,B
16,2/26/10,18.12,2.586,189.6018023,7.039,0,57197,443242.17,B
17,2/26/10,15.64,2.667,126.5522857,6.548,0,93188,749549.55,B
18,2/26/10,35.42,2.753,131.686,9.202,0,120653,1068157.45,B
19,2/26/10,30.33,2.91,131.686,8.35,0,203819,1373270.06,A
20,2/26/10,32.32,2.754,204.4630869,8.187,0,203742,1898193.95,A
21,2/26/10,45.31,2.561,210.9759573,8.324,0,140167,749597.24,B
22,2/26/10,35.98,2.753,135.5195191,8.283,0,119557,899761.48,B
23,2/26/10,32.68,2.753,131.686,5.892,0,114533,1198709.65,B
24,2/26/10,33.98,2.91,131.686,8.326,0,203819,1158722.74,A
25,2/26/10,29.16,2.754,204.4630869,8.187,0,128107,628516.57,B
26,2/26/10,27.32,2.753,131.686,8.488,0,152513,855385.01,A
27,2/26/10,36,2.91,135.5195191,8.237,0,204184,1390934.27,A
28,2/26/10,50.23,2.825,126.5522857,13.975,0,206302,1542173.33,A
29,2/26/10,35.98,2.753,131.686,10.064,0,93638,488417.61,B
30,2/26/10,45.31,2.561,210.9759573,8.324,0,42988,472330.71,C
31,2/26/10,45.31,2.561,210.9759573,8.324,0,203750,1344354.41,A
32,2/26/10,26.64,2.586,189.6018023,9.014,0,203007,1053247.1,A
33,2/26/10,56.5,2.825,126.5522857,10.115,0,39690,284052.77,A
34,2/26/10,37.28,2.59,126.5522857,9.521,0,158114,905756.13,A
35,2/26/10,36,2.754,135.5195191,9.262,0,103681,1020651.74,B
36,2/26/10,50.87,2.52,210.0771885,8.554,0,39910,447519.44,A
37,2/26/10,50.87,2.561,210.0771885,8.554,0,39910,513615.82,C
38,2/26/10,50.23,2.825,126.5522857,13.975,0,39690,334222.73,C
39,2/26/10,49.79,2.561,210.0771885,8.554,0,184109,1168582.02,A
40,2/26/10,33.32,2.753,131.686,5.892,0,155083,863917.41,A
41,2/26/10,21.84,2.586,189.6018023,7.541,0,196321,991941.73,A
42,2/26/10,52.77,2.825,126.5522857,9.765,0,39690,491510.58,C
43,2/26/10,48.77,2.561,203.2798724,9.521,0,41062,618702.79,C
44,2/26/10,29.98,2.667,126.5522857,8.119,0,39910,273079.07,C
45,2/26/10,34.89,2.754,182.0774691,8.992,0,118221,741891.65,B
