FIPS,State,County,Life_Expectancy,Smoking,Obesity,Environment,Physically_Inactive,Exercise_Opportunities,Excessive_Drinking,Driving_Deaths_Alcohol,Chlamydia_Rate,Teen_Birth,Uninsured,Physicians_Ratio,Dentist_Ratio,Mental_Provider,Hospital_stays,Vaccinated,High_School,Some_College,Unemployed,Poverty,Income_Ratio,Children_Single,Injury_Death,PM2.5,Housing_Problems,Commute_Alone
1039,Alabama,Covington,72.9,21,45,6.9,28,58,15,21,394.1,40,12,1847,2680,1251,5332,39,85.2,49,3,28,5.5,32,89,9.1,13,28
1041,Alabama,Crenshaw,72.6,22,40,6.4,31,24,15,50,617.2,32,13,6841,4361,1454,3098,36,81.2,46,3.3,29,5.8,33,96,9.1,8,46
1043,Alabama,Cullman,73.9,21,38,7.5,29,48,17,28,242.3,37,14,1761,2081,653,4276,52,84.2,58,2.4,18,4.2,20,98,9.4,11,33
1045,Alabama,Dale,74.9,21,39,6.5,29,25,16,22,606,32,14,3766,3084,759,3964,41,84.8,58,3.1,23,5.2,31,81,9.1,12,27
1047,Alabama,Dallas,71.1,23,48,5.8,35,56,12,39,629.1,35,11,1245,3135,1393,4876,38,85.9,55,7.4,45,5.4,59,116,9.5,17,32
1051,Alabama,Elmore,75.3,19,37,7.8,25,52,16,36,408.8,24,11,4324,7442,3883,3789,40,87.6,55,2.7,17,4.1,24,76,10,12,47
1053,Alabama,Escambia,72.2,25,44,6.6,34,39,14,31,551.4,42,14,3023,2447,1265,4960,35,81.7,38,4.1,30,5.2,43,117,9.3,10,27
1055,Alabama,Etowah,72.5,21,41,6.2,29,61,15,13,486,38,14,1312,1984,753,4452,39,86.2,56,4.1,25,4.8,33,96,8.4,10,28
1057,Alabama,Fayette,73.1,24,39,7.2,32,32,16,26,398.7,36,14,1015,3230,5383,3577,49,83,45,3.1,27,5.6,30,94,9,12,46
1059,Alabama,Franklin,73.7,23,38,7.2,32,57,16,15,373.1,44,16,2251,3557,8003,5080,43,79,39,2.5,25,4.4,31,88,8.2,10,39
1061,Alabama,Geneva,72.6,24,38,6.7,32,35,16,26,422.5,40,15,3773,13351,3814,3393,46,82.5,46,2.8,29,4.9,25,85,9,12,41
1065,Alabama,Hale,72.5,24,47,6.2,36,28,13,43,1105.7,34,11,4890,7377,4918,4572,35,81.3,49,5.7,33,6.2,50,93,9.4,15,54
1067,Alabama,Henry,75.5,21,42,7.2,29,18,16,24,651,28,12,3445,3492,2910,3287,40,81.3,46,3.2,25,5.2,26,84,9.1,9,37
1069,Alabama,Houston,75.6,21,39,7.3,32,75,15,33,767.8,33,14,1171,1535,575,3196,45,87.8,59,3.4,27,5.1,33,72,8.1,13,25
1071,Alabama,Jackson,73.3,22,40,6.9,29,38,16,24,251.8,31,13,1910,3298,1885,3388,44,82.4,49,2.9,27,4.8,25,95,8.6,10,40
