"Category1","Category2","Category3","Date","Value"
"A","X","W",2010-12-01,0
"A","X","W",2011-01-01,0
"A","X","W",2011-02-01,0
"A","X","W",2011-03-01,0
"A","X","W",2011-04-01,0
"A","X","W",2011-05-01,0
"A","X","W",2011-06-01,0
"A","X","W",2011-07-01,0
"A","X","W",2011-08-01,0
"A","X","W",2011-09-01,0
"A","X","W",2011-10-01,0
"A","X","W",2011-11-01,0
"A","X","W",2011-12-01,0
"A","X","W",2012-01-01,0
"A","X","W",2012-02-01,0
"A","X","W",2012-03-01,0
"A","X","W",2012-04-01,0
"A","X","W",2012-05-01,0
"A","X","W",2012-06-01,0
"A","X","W",2012-07-01,0
"A","X","W",2012-08-01,0
"A","X","W",2012-09-01,0
"A","X","W",2012-10-01,0
"A","X","W",2012-11-01,0
"A","X","W",2012-12-01,0
"A","X","W",2013-01-01,0
"A","X","W",2013-02-01,0
"A","X","W",2013-03-01,0
"A","X","W",2013-04-01,0
"A","X","W",2013-05-01,0
"A","X","W",2013-06-01,0
"A","X","W",2013-07-01,0
"A","X","W",2013-08-01,0
"A","X","W",2013-09-01,0
"A","X","W",2013-10-01,0
"A","X","W",2013-11-01,0
"A","X","W",2013-12-01,0
"A","X","W",2014-01-01,0
"A","X","W",2014-02-01,0
"A","X","W",2014-03-01,0
"A","X","W",2014-04-01,0
"A","X","W",2014-05-01,0
"A","X","W",2014-06-01,0
"A","X","W",2014-07-01,0
"A","X","W",2014-08-01,0
"A","X","W",2014-09-01,30
"A","X","W",2014-10-01,0
"A","X","W",2014-11-01,0
"A","X","W",2014-12-01,5
"A","X","W",2015-01-01,0
"A","X","W",2015-02-01,0
"A","X","W",2015-03-01,570
"A","X","W",2015-04-01,2061
"A","X","W",2015-05-01,13822
"A","X","W",2015-06-01,16730
"A","X","W",2015-07-01,13178
"A","X","W",2015-08-01,9814
"A","X","W",2015-09-01,10166
"A","X","W",2015-10-01,6495
"A","X","W",2015-11-01,27470
"A","X","W",2015-12-01,57135
"A","X","W",2016-01-01,24230
"A","X","W",2016-02-01,22576
"A","X","W",2016-03-01,25627
"A","X","W",2016-04-01,21283
"A","X","W",2016-05-01,21486
"A","X","W",2016-06-01,31879
"A","X","W",2016-07-01,25246
"A","X","W",2016-08-01,27515
"A","A","A",2010-12-01,0
"A","A","A",2011-01-01,0
"A","A","A",2011-02-01,0
"A","A","A",2011-03-01,0
"A","A","A",2011-04-01,0
"A","A","A",2011-05-01,0
"A","A","A",2011-06-01,0
"A","A","A",2011-07-01,0
"A","A","A",2011-08-01,0
"A","A","A",2011-09-01,0
"A","A","A",2011-10-01,0
"A","A","A",2011-11-01,0
"A","A","A",2011-12-01,0
"A","A","A",2012-01-01,0
"A","A","A",2012-02-01,0
"A","A","A",2012-03-01,0
"A","A","A",2012-04-01,0
"A","A","A",2012-05-01,0
"A","A","A",2012-06-01,0
"A","A","A",2012-07-01,0
"A","A","A",2012-08-01,0
